k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,1.0
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,1.0
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,1.0
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,1.0
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,1.0
3.0,1.0,0.3981,7.962,7.535795026375283,0,1,0.04867764934897423,456.0930480957031,0.3808169983540326,0.1
3.0,1.0,0.3981,7.962,7.535795026375283,0,5000,0.20113638043403625,397.23138427734375,1.0,0.1
3.0,1.0,0.3981,7.962,7.535795026375283,0,10000,0.13166144490242004,422.6264343261719,0.8069729163549304,0.1
3.0,1.0,0.3981,7.962,7.535795026375283,0,15000,0.08093582093715668,434.8735656738281,0.7288642825078557,0.1
3.0,1.0,0.3981,7.962,7.535795026375283,0,20000,0.06745291501283646,440.9962463378906,0.6696094568307647,0.1
3.0,1.0,0.3981,7.962,7.535795026375283,0,25000,0.06360916793346405,445.0363464355469,0.6378871764177765,0.1
1.0,0.01,0.3981,7.962,7.535795026375283,0,1,nan,nan,nan,1.0
1.0,0.01,0.3981,7.962,7.535795026375283,0,5000,nan,nan,nan,1.0
1.0,0.01,0.3981,7.962,7.535795026375283,0,10000,nan,nan,nan,1.0
1.0,0.01,0.3981,7.962,7.535795026375283,0,15000,nan,nan,nan,1.0
1.0,0.01,0.3981,7.962,7.535795026375283,0,20000,nan,nan,nan,1.0
1.0,0.01,0.3981,7.962,7.535795026375283,0,25000,nan,nan,nan,1.0
1.0,0.0251,0.3981,7.962,7.535795026375283,0,1,0.017749391496181488,454.5322570800781,0.2806251902973714,0.0316
1.0,0.0251,0.3981,7.962,7.535795026375283,0,5000,0.297472208738327,419.6062316894531,0.46046889272302854,0.0316
1.0,0.0251,0.3981,7.962,7.535795026375283,0,10000,0.285134494304657,425.9429931640625,0.6900436415304984,0.0316
1.0,0.0251,0.3981,7.962,7.535795026375283,0,15000,0.37849053740501404,442.26727294921875,0.857505328326398,0.0316
1.0,0.0251,0.3981,7.962,7.535795026375283,0,20000,0.37272751331329346,452.9996643066406,0.9451943570486147,0.0316
1.0,0.0251,0.3981,7.962,7.535795026375283,0,25000,0.2348611056804657,445.5787048339844,1.0,0.0316
3.0,1.0,15.849,316.98,0.1892863903085368,0,1,0.04773234575986862,457.0784912109375,0.4464547677261614,0.01
3.0,1.0,15.849,316.98,0.1892863903085368,0,5000,0.15775763988494873,404.8819274902344,1.0,0.01
3.0,1.0,15.849,316.98,0.1892863903085368,0,10000,0.11423343420028687,427.24517822265625,0.828198859005705,0.01
3.0,1.0,15.849,316.98,0.1892863903085368,0,15000,0.08373282849788666,437.25494384765625,0.7555012224938875,0.01
3.0,1.0,15.849,316.98,0.1892863903085368,0,20000,0.07716542482376099,442.578857421875,0.7127954360228199,0.01
3.0,1.0,15.849,316.98,0.1892863903085368,0,25000,0.06623455137014389,446.4180908203125,0.6681336593317033,0.01
3.0,1.0,0.0631,1.262,47.543581616481774,0,1,0.05146190524101257,456.0262756347656,0.3879574281965301,0.1
3.0,1.0,0.0631,1.262,47.543581616481774,0,5000,0.1470055729150772,394.3124084472656,1.0,0.1
3.0,1.0,0.0631,1.262,47.543581616481774,0,10000,0.13924257457256317,415.3595275878906,0.8437089954803907,0.1
3.0,1.0,0.0631,1.262,47.543581616481774,0,15000,0.12103193253278732,428.2056884765625,0.7361131360256598,0.1
3.0,1.0,0.0631,1.262,47.543581616481774,0,20000,0.08369855582714081,435.5197448730469,0.680419886280799,0.1
3.0,1.0,0.0631,1.262,47.543581616481774,0,25000,0.06937559694051743,440.5040588378906,0.6398891966759003,0.1
3.0,1.0,2.51189,50.23780000000001,1.19431981496005,0,1,0.048531074076890945,456.89801025390625,0.4245504300234558,1.0
3.0,1.0,2.51189,50.23780000000001,1.19431981496005,0,5000,0.15958048403263092,402.49609375,1.0,1.0
3.0,1.0,2.51189,50.23780000000001,1.19431981496005,0,10000,0.13142307102680206,426.000244140625,0.8039093041438624,1.0
3.0,1.0,2.51189,50.23780000000001,1.19431981496005,0,15000,0.0834246575832367,436.35955810546875,0.7172791243158718,1.0
3.0,1.0,2.51189,50.23780000000001,1.19431981496005,0,20000,0.07079920917749405,442.056640625,0.672556684910086,1.0
3.0,1.0,2.51189,50.23780000000001,1.19431981496005,0,25000,0.06159831956028938,445.8470764160156,0.6412822517591868,1.0
3.0,0.0631,0.01,0.2,300.0,0,1,nan,nan,nan,1.0
3.0,0.0631,0.01,0.2,300.0,0,5000,nan,nan,nan,1.0
3.0,0.0631,0.01,0.2,300.0,0,10000,nan,nan,nan,1.0
3.0,0.0631,0.01,0.2,300.0,0,15000,nan,nan,nan,1.0
3.0,0.0631,0.01,0.2,300.0,0,20000,nan,nan,nan,1.0
3.0,0.0631,0.01,0.2,300.0,0,25000,nan,nan,nan,1.0
1.0,0.0251,0.01,0.2,300.0,0,1,0.014931879937648773,456.1636962890625,0.2972741849278461,0.0316
1.0,0.0251,0.01,0.2,300.0,0,5000,0.029189877212047577,422.2298278808594,0.31822554783538215,0.0316
1.0,0.0251,0.01,0.2,300.0,0,10000,0.06433550268411636,421.24005126953125,0.46702298236237305,0.0316
1.0,0.0251,0.01,0.2,300.0,0,15000,0.13441306352615356,432.867919921875,0.7135221806520577,0.0316
1.0,0.0251,0.01,0.2,300.0,0,20000,0.046948112547397614,426.9474792480469,0.8760021378941742,0.0316
1.0,0.0251,0.01,0.2,300.0,0,25000,0.08456075191497803,438.5816650390625,1.0,0.0316
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,0.01
3.0,0.3981,0.01,0.2,300.0,0,1,nan,nan,nan,10.0
3.0,0.3981,0.01,0.2,300.0,0,5000,nan,nan,nan,10.0
3.0,0.3981,0.01,0.2,300.0,0,10000,nan,nan,nan,10.0
3.0,0.3981,0.01,0.2,300.0,0,15000,nan,nan,nan,10.0
3.0,0.3981,0.01,0.2,300.0,0,20000,nan,nan,nan,10.0
3.0,0.3981,0.01,0.2,300.0,0,25000,nan,nan,nan,10.0
3.0,0.3981,0.0631,1.262,47.543581616481774,0,1,0.031167054548859596,456.4216003417969,0.49416774671357155,1.0
3.0,0.3981,0.0631,1.262,47.543581616481774,0,5000,0.1512196660041809,381.4895935058594,1.0,1.0
3.0,0.3981,0.0631,1.262,47.543581616481774,0,10000,0.2500162124633789,400.8897399902344,0.7293093871505277,1.0
3.0,0.3981,0.0631,1.262,47.543581616481774,0,15000,0.2273334264755249,418.3646545410156,0.6663580818366969,1.0
