eps_mult,epsilon,eps_modified,hondadelta,sos_dist,area_diff,localization,eta
0.56,1.2,0.672,0.10206296294927597,3.2385325278917665,1.0647525977300681e-05,0.21665826557191165,3.581891653805951e-05
0.44,1.2,0.528,0.09265092760324478,3.2522757115187444,1.0816765907879864e-05,0.21681093203298235,3.7849328695290065e-05
0.6,1.2,0.72,0.09372438490390778,3.24032302950746,1.0548316362823228e-05,0.21643729345423082,3.4563936715899394e-05
0.72,1.2,0.864,0.09880755841732025,3.238876918739095,1.0600839099899527e-05,0.21629728066771126,3.47704057287344e-05
0.86,1.2,1.032,0.08856618404388428,3.2392448260604354,1.0367404712893758e-05,0.21657010442502586,3.324934231510733e-05
0.68,1.2,0.8160000000000001,0.09360987693071365,3.237931910880594,1.0390748151594334e-05,0.21652531683225726,3.346228790350428e-05
0.76,1.2,0.9119999999999999,0.0901792049407959,3.239095806799624,1.0402419870944622e-05,0.21645517917270093,3.343055585384677e-05
0.94,1.2,1.128,0.0876397117972374,3.2400116440754165,1.0058104150111112e-05,0.21632922522452455,3.203565555373509e-05
0.64,1.2,0.768,0.09741676598787308,3.2386277934884857,1.0559988082173518e-05,0.21659971867544803,3.493569005594045e-05
0.96,1.2,1.152,0.08377233892679214,3.2395573191335854,1.0081447588811689e-05,0.21615507003629034,3.237254967343432e-05
0.98,1.2,1.176,0.08362318575382233,3.2394550728799,1.0122298606537699e-05,0.2165855069837956,3.234018614345542e-05
0.8,1.2,0.96,0.09071286767721176,3.2376282270417844,1.0653361836975826e-05,0.21635403737719244,3.462007555225566e-05
0.9,1.2,1.08,0.08602415770292282,3.239594310803428,1.0174821343613998e-05,0.21655220232015823,3.306450604236503e-05
0.48,1.2,0.576,0.10829483717679977,3.2375993744459968,1.0688376995026691e-05,0.21666117042050667,3.606219707572726e-05
1.0,1.2,1.2,0.09794090688228607,3.239120969360972,1.0233179940365437e-05,0.21657206731431727,3.268221151578615e-05
0.92,1.2,1.104,0.0891391783952713,3.2395546768552905,1.0209836501664862e-05,0.21658974118295735,3.2743107245043346e-05
0.52,1.2,0.624,0.10059177130460739,3.2385373544429483,1.0624182538600106e-05,0.2166733073795334,3.595283323008513e-05
