eps_mult,epsilon,eps_modified,barrel,hondadelta,area_diff,area
1.0,1.2,1.2,B3,0.0041625527665019035,0.05066248385660007,0.08339824265624954
1.0,1.2,1.2,C2,0.001658403780311346,0.07716286002774472,0.09820727639894808
1.0,1.2,1.2,C3,0.009055346250534058,0.03039749031396004,0.14497264611273294
1.0,1.2,1.2,C4,0.02047826535999775,0.007014805457067701,0.1636787939982469
1.0,1.2,1.2,D2,0.008838070556521416,0.14419322328416942,0.08729535679906494
1.0,1.2,1.2,D3,0.0038705612532794476,0.13016361237003402,0.10600150468457889
0.92,1.2,1.104,B3,0.0027875714004039764,0.04988306102803699,0.08417766548481262
0.92,1.2,1.104,C2,0.002267462434247136,0.06858920891355086,0.10678092751314197
0.92,1.2,1.104,C3,0.0012886489275842905,0.06391267194217239,0.11145746448452046
0.92,1.2,1.104,C4,0.021078823134303093,0.014809033742698482,0.1714730222838777
0.92,1.2,1.104,D2,0.007709760218858719,0.14341380045560634,0.08807477962762802
0.92,1.2,1.104,D3,0.005676095839589834,0.12938418954147093,0.10678092751314197
0.52,1.2,0.624,B3,0.003321972908452153,0.04130940991384313,0.09275131659900651
0.52,1.2,0.624,C2,0.016211457550525665,0.04130940991384313,0.1340607265128498
0.52,1.2,0.624,C3,1.9312310541863553e-05,0.17225244511244023,0.003117691314252312
0.52,1.2,0.624,C4,0.03313462808728218,0.08885420245619088,0.2455181909973704
0.52,1.2,0.624,D2,0.008227349258959293,0.12470765257009248,0.10678092751314197
0.52,1.2,0.624,D3,0.006107325665652752,0.11925169277015092,0.11691342428446203
