k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff
3.0,0.39809998869895935,0.39809999999999973,7.961999999999994,7.5357950264000015,100.0,1,0.031870998442173004,456.907958984375,0.5505800936291472
3.0,0.39809998869895935,0.39809999999999973,7.961999999999994,7.5357950264000015,100.0,5000,0.23864521086215973,361.1490173339844,1.0
3.0,0.39809998869895935,0.39809999999999973,7.961999999999994,7.5357950264000015,100.0,10000,0.16414162516593933,393.12969970703125,0.741909220435579
3.0,0.39809998869895935,0.39809999999999973,7.961999999999994,7.5357950264000015,100.0,15000,0.06963641941547394,410.4477844238281,0.6381029920618767
3.0,0.39809998869895935,0.39809999999999973,7.961999999999994,7.5357950264000015,100.0,20000,0.0569617860019207,417.1195373535156,0.6165275798900876
3.0,0.39809998869895935,0.39809999999999973,7.961999999999994,7.5357950264000015,100.0,25000,0.039480388164520264,419.3520812988281,0.6165275798900876
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,300.0,1,0.032914452254772186,456.8808288574219,0.662905162064826
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,300.0,5000,0.17124105989933014,382.6960754394531,1.0
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,300.0,10000,0.11919806897640228,406.9312438964844,0.7680672268907563
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,300.0,15000,0.020050959661602974,414.7051086425781,0.6941176470588235
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,300.0,20000,0.012294883839786053,421.1397399902344,0.6624249699879952
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,300.0,25000,0.008630428463220596,423.7998046875,0.6605042016806723
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,200.0,1,0.023252546787261963,457.72857666015625,0.5297721615929543
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,200.0,5000,0.2412194311618805,364.294189453125,1.0
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,200.0,10000,0.12096128612756729,376.2894287109375,0.8127512923607122
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,200.0,15000,0.03152211382985115,403.3271789550781,0.7193183993873253
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,200.0,20000,0.02054392546415329,424.04498291015625,0.6890675856787287
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,200.0,25000,0.022357407957315445,431.28045654296875,0.6837066819835343
3.0,0.06310000270605087,15.848999999999984,316.9799999999997,0.18928639030000016,300.0,1,0.018880490213632584,455.6611022949219,0.4785243272144003
3.0,0.06310000270605087,15.848999999999984,316.9799999999997,0.18928639030000016,300.0,5000,0.24451491236686707,456.6019287109375,0.9579397611833897
3.0,0.06310000270605087,15.848999999999984,316.9799999999997,0.18928639030000016,300.0,10000,0.06463225930929184,461.0057678222656,0.8146497950454464
3.0,0.06310000270605087,15.848999999999984,316.9799999999997,0.18928639030000016,300.0,15000,0.05162141099572182,464.40765380859375,0.938691855284263
3.0,0.06310000270605087,15.848999999999984,316.9799999999997,0.18928639030000016,300.0,20000,0.04994349181652069,466.1651306152344,0.9989306718944929
3.0,0.06310000270605087,15.848999999999984,316.9799999999997,0.18928639030000016,300.0,25000,0.04422086849808693,468.28912353515625,1.0
3.0,1.0,2.511890000000002,50.23780000000004,1.194319815,300.0,1,0.050753314048051834,460.08648681640625,0.5247258033480854
3.0,1.0,2.511890000000002,50.23780000000004,1.194319815,300.0,5000,0.1288738250732422,405.274169921875,1.0
3.0,1.0,2.511890000000002,50.23780000000004,1.194319815,300.0,10000,0.059286653995513916,420.5575256347656,0.8549162978641524
3.0,1.0,2.511890000000002,50.23780000000004,1.194319815,300.0,15000,0.03708595782518387,419.14715576171875,0.8579949971137194
3.0,1.0,2.511890000000002,50.23780000000004,1.194319815,300.0,20000,0.03107449784874916,418.50946044921875,0.8706946315181836
3.0,1.0,2.511890000000002,50.23780000000004,1.194319815,300.0,25000,0.035674966871738434,418.2940673828125,0.879161054454493
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,200.0,1,0.02300027199089527,455.75982666015625,0.6038915913829048
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,200.0,5000,0.09199780970811844,426.02264404296875,0.7433402826036599
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,200.0,10000,0.09891223907470703,372.3034973144531,1.0
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,200.0,15000,0.09974128752946854,396.7974548339844,0.8503590456335418
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,200.0,20000,0.09099471569061279,409.8876037597656,0.8197822561964327
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,200.0,25000,0.06750991195440292,422.1802978515625,0.8100532777391707
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,50.0,1,0.023024901747703552,457.5467834472656,0.47874439461883406
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,50.0,5000,0.14786681532859802,337.85211181640625,1.0
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,50.0,10000,0.16806919872760773,353.5006103515625,0.7829596412556054
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,50.0,15000,0.10998141765594482,385.7093200683594,0.6645739910313901
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,50.0,20000,0.07855295389890671,413.8697204589844,0.5791928251121077
3.0,0.15850000083446503,0.39809999999999973,7.961999999999994,7.5357950264000015,50.0,25000,0.06309657543897629,419.3291320800781,0.5368609865470853
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,100.0,1,0.022019127383828163,457.22503662109375,0.6127985161140738
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,100.0,5000,0.08049869537353516,424.4699401855469,0.7458845351263622
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,100.0,10000,0.17330722510814667,370.635009765625,1.0
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,100.0,15000,0.2009861022233963,377.849609375,0.8924182703454672
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,100.0,20000,0.09810025990009308,406.1197204589844,0.8047762578251797
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,100.0,25000,0.0822584480047226,413.67572021484375,0.7537676791096685
3.0,0.025100000202655792,0.06310000000000002,1.2620000000000002,47.543581616499985,200.0,1,0.015992779284715652,454.5182189941406,0.42610800181515657
3.0,0.025100000202655792,0.06310000000000002,1.2620000000000002,47.543581616499985,200.0,5000,0.13198015093803406,520.449951171875,0.7452730297988202
3.0,0.025100000202655792,0.06310000000000002,1.2620000000000002,47.543581616499985,200.0,10000,0.14918634295463562,500.9059143066406,0.6121615489335955
3.0,0.025100000202655792,0.06310000000000002,1.2620000000000002,47.543581616499985,200.0,15000,0.11285534501075745,502.4521484375,0.7676599606716079
3.0,0.025100000202655792,0.06310000000000002,1.2620000000000002,47.543581616499985,200.0,20000,0.11960123479366302,480.3655700683594,0.8880653456360611
3.0,0.025100000202655792,0.06310000000000002,1.2620000000000002,47.543581616499985,200.0,25000,0.08537966758012772,466.4658203125,1.0
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,300.0,1,0.02158648706972599,455.9212646484375,0.6322719655254968
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,300.0,5000,0.0897454172372818,418.0906982421875,0.7677759157289921
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,300.0,10000,0.08759231865406036,391.033935546875,1.0
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,300.0,15000,0.04966200515627861,406.9385681152344,0.951161120421355
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,300.0,20000,0.03797150403261185,417.03558349609375,0.9784534354800096
3.0,0.15850000083446503,0.010000000000000004,0.20000000000000007,300.0,300.0,25000,0.0481390506029129,430.55810546875,0.9679195594924587
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,100.0,1,0.031755074858665466,458.23870849609375,0.5396733909702209
