eps_mult,epsilon,eps_modified,hondadelta,sos_dist,area_diff,localization,eta
1.0,1.2,1.2,0.09512238204479218,3.238549420789434,1.0168985483938853e-05,0.216442972913793,3.289543736398667e-05
0.98,1.2,1.176,0.08766990900039673,3.2388293474085526,1.0017253132385101e-05,0.2161897852421488,3.223595561803636e-05
0.76,1.2,0.9119999999999999,0.07773060351610184,3.2402890324057454,9.777982885704188e-06,0.21513803179510096,3.128813108280506e-05
0.86,1.2,1.032,0.08172523230314255,3.2390534091650576,9.883028359856784e-06,0.21556082180844494,3.177964107758064e-05
0.44,1.2,0.528,0.0866406112909317,3.238710760760146,1.0017253132385101e-05,0.2146497225201129,3.300198694859814e-05
0.8,1.2,0.96,0.07428984344005585,3.2385134514524077,1.0075611729136544e-05,0.21530413236574647,3.226236272457645e-05
0.9,1.2,1.08,0.08099842071533203,3.2393028463547613,1.0046432430760823e-05,0.21605037086997375,3.2292839511233475e-05
0.68,1.2,0.8160000000000001,0.08436817675828934,3.2400566710420984,9.91804351790765e-06,0.21504889367328384,3.221462546851988e-05
0.94,1.2,1.128,0.07951357960700989,3.2389880306950656,1.0104791027512266e-05,0.21625269921239032,3.217751575415011e-05
0.6,1.2,0.72,0.08371514081954956,3.238782349924865,9.836341482455631e-06,0.21490392024435415,3.153269388794719e-05
0.72,1.2,0.864,0.08415545523166656,3.2392439069186976,1.0005581413034815e-05,0.2153595372904471,3.225423467868165e-05
0.96,1.2,1.152,0.09145352244377136,3.239941690225219,1.0046432430760823e-05,0.21606713573588346,3.22182762057085e-05
0.92,1.2,1.104,0.0911761075258255,3.2385851598947686,1.0093119308161979e-05,0.21591777404574644,3.2243063868539454e-05
0.64,1.2,0.768,0.08740995824337006,3.239031348387727,9.789654605054477e-06,0.2148332777467339,3.104238121202572e-05
0.48,1.2,0.576,0.09029041230678558,3.238904381097316,9.88886421953193e-06,0.21476025974994575,3.283693210872904e-05
0.56,1.2,0.672,0.07467515021562576,3.2396615150855808,9.73713186797818e-06,0.21462666755685852,3.138774461641487e-05
0.52,1.2,0.624,0.08786197751760483,3.2391922047760158,9.953058675958516e-06,0.21459612856473598,3.250014065767467e-05
