noise_gain,hondadelta,sos_dist,area_diff,localization
0.3,0.06941740214824677,3.32732066170713,0.5564082885648504,0.22225610180258837
0.001,0.09169629961252213,3.2396713945719164,0.5303146584804298,0.21644766023321835
0.4,0.08812664449214935,3.3722209015825344,0.5812739831158864,0.21974121534573146
0.55,0.10072989761829376,3.382712713456706,0.5993860322333078,0.22650877862992483
0.2,0.09004469215869904,3.299071787728328,0.5441289332310054,0.22220709443378772
0.02,0.08528833091259003,3.2453607652710463,0.5281657712970069,0.21684935415779055
0.05,0.09828343987464905,3.2542472412500696,0.5293937068303914,0.2166606670362093
0.75,0.08956855535507202,3.466998247007111,0.6623177283192633,0.2320203859798685
2.0,0.16030927002429962,3.8042396644457988,0.7709900230237913,0.27586033870199
0.7,0.08358640223741531,3.434262719159561,0.5843438219493476,0.22806059196278
0.1,0.09475124627351761,3.2705689159844202,0.5352264006139678,0.2173872888598765
1.0,0.12066105753183365,3.533642326334548,0.6125863392171911,0.2424389856195203
2.5,0.12078884989023209,4.005134636448381,0.8824251726784343,0.38444162030192025
0.002,0.08659633249044418,3.240610038119317,0.5269378357636224,0.21625705848145782
0.5,0.1001458540558815,3.3914781911682654,0.5459708365310821,0.22527362868951234
0.005,0.09023970365524292,3.2402061055466045,0.5349194167306216,0.2164269151999379
0.01,0.09301857650279999,3.2430159369896097,0.5254029163468917,0.21633826611333298
0.65,0.12022219598293304,3.446317595428409,0.5634689178818112,0.23695616734870703
0.6,0.10953587293624878,3.4042280969090575,0.526016884113584,0.2266547606287646
1.5,0.14002248644828796,3.695011759084312,0.7789716039907905,0.28480125037307397
