noise_gain,noise_sigma,hondadelta,sos_dist,area_diff,localization,eta
0.6,0.03,0.16291137039661407,3.252492668037892,0.5300076745970836,0.20052003242250227,162.78027259093415
0.03,0.1,0.08461399376392365,3.2390509962748553,0.5306216423637758,0.21660814234664416,113.50941322062542
0.03,0.06,0.0833153948187828,3.238939426864817,0.5404451266308519,0.2168644298702216,116.98409873933497
1.5,0.03,0.27772489190101624,3.283142352298971,1.1267843438219494,0.22007478978538259,1378.5008173217338
0.06,0.06,0.09689147770404816,3.239629578865505,0.5398311588641597,0.21658008888172206,115.91776080845521
1.5,0.022,0.00915954727679491,3.439537834846411,1.7115886415963162,0.3741904414068395,5272.678907381475
1.5,0.1,0.11428417265415192,3.2393623591611473,0.5462778204144283,0.21520656836002122,122.0874453481276
0.03,0.03,0.08560781925916672,3.2384316283414805,0.5318495778971604,0.2163810004718179,113.1583085966451
0.06,0.1,0.08376038074493408,3.23937901795549,0.5376822716807368,0.21639827757655666,115.44055767729405
1.5,0.06,0.12393937259912491,3.2407354456668394,0.5300076745970836,0.2138975899309906,136.86177544265212
0.03,0.022,0.08421312272548676,3.2405314836669636,0.5278587874136608,0.21619310470461886,113.09463623298468
0.15,0.015,0.12086541205644608,3.2508271329616085,0.5125095932463546,0.20201206312218364,121.6448671982019
0.15,0.022,0.1075800210237503,3.244866587971353,0.513430544896393,0.21108908567290763,114.30031577634725
0.6,0.022,0.1695743203163147,3.2768979513621397,0.7445894090560246,0.19291645861261555,359.0908335063167
0.03,0.015,0.09565988928079605,3.240071143862786,0.5284727551803531,0.21593824315968582,112.70666790605611
1.5,0.015,nan,nan,nan,nan,nan
0.6,0.015,0.001444574212655425,3.4235898356208927,1.4822716807367613,0.30711953028672173,2737.5020746137316
0.15,0.1,0.08161754161119461,3.2388388847119782,0.5324635456638527,0.21634034909205402,113.34202636945815
0.15,0.03,0.0942060649394989,3.2437843876311208,0.5290867229470453,0.21534547881670424,115.47811393688077
0.15,0.06,0.08815222978591919,3.239106722089968,0.5269378357636224,0.21618838943521657,112.98250593427048
0.6,0.06,0.11329781264066696,3.2382149939711966,0.5278587874136608,0.21537035155001372,116.74302075134108
0.06,0.03,0.0891796424984932,3.2396438238370955,0.5250959324635457,0.21621813023857486,111.80102279815439
0.06,0.022,0.07223409414291382,3.23899929105286,0.523561013046815,0.21569925394377834,112.60218401336809
0.6,0.1,0.10101259499788284,3.2367167746023124,0.5217191097467383,0.21731543630056488,112.06053868087086
0.06,0.015,0.08617641776800156,3.2417804347015893,0.523254029163469,0.2135707015584156,111.80094936707387
