phi1,gain1,hondadelta,sos_dist,area_diff,localization
6.0,1.0,0.08807974308729172,3.2390326122904853,0.530928626247122,0.21652798334415546
46.0,0.1,0.07198908179998398,3.1964741006481985,1.009823484267076,0.10428929082761121
-34.0,1.0,0.1241895779967308,3.2872583546165317,0.5662317728319263,0.21386047376094394
26.0,0.1,0.09220442920923233,3.194908315348538,1.0386799693016118,0.10837757364498235
-14.0,0.1,0.08385686576366425,3.193679722711048,1.009823484267076,0.10778023509925878
-34.0,0.1,0.09149818867444992,3.1995569620244813,1.0374520337682271,0.10361308073421341
26.0,0.5,0.1209225133061409,3.203454957722761,0.7740598618572525,0.17248591521700757
6.0,0.1,0.11995916813611984,3.2144359427984286,1.0128933231005373,0.10962460172475852
6.0,0.5,0.14438164234161377,3.215865153789426,0.706216423637759,0.17608940445086924
46.0,1.0,0.11658930778503418,3.1933367508941615,0.6767459708365311,0.1953336706647735
26.0,1.0,0.07826633006334305,3.2123475295535524,0.5825019186492709,0.20841563326657633
-34.0,0.5,0.10846451669931412,3.2336754400248005,0.7461243284727552,0.1660254239454328
-14.0,1.0,0.08736211806535721,3.2674150069582937,0.5223330775134305,0.22014444933764407
46.0,0.5,0.15657274425029755,3.205196199784945,0.8612432847275518,0.16161356134085797
-14.0,0.5,0.1162114068865776,3.2273136499790476,0.686569455103607,0.17466939010569177
