# k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
1.000000000000000000e+00,1.585000008344650269e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,1.000000000000000000e+00,2.200285904109477997e-02,4.577898254394531250e+02,5.954146999325691247e-01,0.000000000000000000e+00,1.761151581634050681e-02
1.000000000000000000e+00,1.585000008344650269e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,5.000000000000000000e+03,1.314328610897064209e-01,3.831791687011718750e+02,9.739267251067655895e-01,0.000000000000000000e+00,5.934508336180461807e-01
1.000000000000000000e+00,1.585000008344650269e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,1.000000000000000000e+04,2.051556110382080078e-01,3.615395812988281250e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.562177987687549674e+00
1.000000000000000000e+00,1.585000008344650269e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,1.500000000000000000e+04,9.128487855195999146e-02,3.902821350097656250e+02,8.835693414250392896e-01,0.000000000000000000e+00,6.365168404021297910e+00
1.000000000000000000e+00,1.585000008344650269e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,2.000000000000000000e+04,5.194656178355216980e-02,4.213458251953125000e+02,7.563497415149471603e-01,0.000000000000000000e+00,1.063478839189514247e+01
1.000000000000000000e+00,1.585000008344650269e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,2.500000000000000000e+04,2.582710422575473785e-02,4.333498535156250000e+02,6.974601033940210915e-01,0.000000000000000000e+00,1.445089499390518206e+01
1.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,1.000000000000000000e+00,1.470622234046459198e-02,4.565722656250000000e+02,3.856075040304851043e-01,0.000000000000000000e+00,1.851075603222721716e-02
1.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,5.000000000000000000e+03,1.204728931188583374e-01,4.813400573730468750e+02,6.520592114905466863e-01,0.000000000000000000e+00,6.209606831007746797e-01
1.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,1.000000000000000000e+04,1.367173045873641968e-01,5.126296386718750000e+02,6.801993258097610573e-01,0.000000000000000000e+00,2.761747095741636127e+00
1.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,1.500000000000000000e+04,9.467220306396484375e-02,4.712619628906250000e+02,7.156675948996042980e-01,0.000000000000000000e+00,9.234036550809488375e+00
1.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,2.000000000000000000e+04,9.387854486703872681e-02,4.652061157226562500e+02,8.836289022424154149e-01,0.000000000000000000e+00,1.680348709915397976e+01
1.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.500000000000000000e+02,2.500000000000000000e+04,1.362286061048507690e-01,4.635077514648437500e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.139972689245902160e+01
1.000000000000000000e+00,2.510000020265579224e-02,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.500000000000000000e+02,1.000000000000000000e+00,1.553697325289249420e-02,4.573534851074218750e+02,3.798921311021988823e-01,0.000000000000000000e+00,4.643416659117187840e-04
1.000000000000000000e+00,2.510000020265579224e-02,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.500000000000000000e+02,5.000000000000000000e+03,2.891485393047332764e-01,5.682305908203125000e+02,7.231364956437560387e-01,0.000000000000000000e+00,5.080302836059599203e-01
1.000000000000000000e+00,2.510000020265579224e-02,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.500000000000000000e+02,1.000000000000000000e+04,1.708418428897857666e-01,4.951554565429687500e+02,6.335223343935831863e-01,0.000000000000000000e+00,2.606485325461120883e+00
1.000000000000000000e+00,2.510000020265579224e-02,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.500000000000000000e+02,1.500000000000000000e+04,6.626849621534347534e-02,4.759656982421875000e+02,7.817729221407827556e-01,0.000000000000000000e+00,4.929076727808543446e+00
1.000000000000000000e+00,2.510000020265579224e-02,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.500000000000000000e+02,2.000000000000000000e+04,7.009314000606536865e-02,4.640097961425781250e+02,9.380445304937076179e-01,0.000000000000000000e+00,5.072559181601899780e+00
1.000000000000000000e+00,2.510000020265579224e-02,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,1.500000000000000000e+02,2.500000000000000000e+04,6.259329617023468018e-02,4.653930664062500000e+02,1.000000000000000000e+00,0.000000000000000000e+00,4.788550723921796148e+00
1.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,1.000000000000000000e+00,nan,4.860787048339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,5.000000000000000000e+03,nan,4.860787048339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,1.000000000000000000e+04,nan,4.860787048339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,1.500000000000000000e+04,nan,4.860787048339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,2.000000000000000000e+04,nan,4.860787048339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.980999886989593506e-01,1.000000000000000000e+02,2.000000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+02,2.500000000000000000e+04,nan,4.860787048339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,1.000000000000000000e+00,4.820372536778450012e-02,4.571066894531250000e+02,4.338420258259265694e-01,0.000000000000000000e+00,2.149866035885434658e-03
1.000000000000000000e+00,1.000000000000000000e+00,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,5.000000000000000000e+03,1.722767204046249390e-01,3.924409179687500000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.067595161636683665e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,1.000000000000000000e+04,9.722554683685302734e-02,4.187755126953125000e+02,8.158644977360388628e-01,0.000000000000000000e+00,2.072729491693507509e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,1.500000000000000000e+04,5.873617902398109436e-02,4.204747924804687500e+02,8.108334730840180971e-01,0.000000000000000000e+00,2.649566652953974533e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,2.000000000000000000e+04,6.183038279414176941e-02,4.188879394531250000e+02,8.229079322488680459e-01,0.000000000000000000e+00,2.907295790228455079e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,2.500000000000000000e+04,5.731699988245964050e-02,4.180183105468750000e+02,8.279389569008888117e-01,0.000000000000000000e+00,3.006526077290398113e+00
1.000000000000000000e+00,1.585000000000000020e-01,1.000000000000000000e+02,2.000000000000000000e+03,2.999999999999999889e-02,3.000000000000000000e+02,1.000000000000000000e+00,nan,nan,nan,0.000000000000000000e+00,nan
1.000000000000000000e+00,1.585000000000000020e-01,1.000000000000000000e+02,2.000000000000000000e+03,2.999999999999999889e-02,3.000000000000000000e+02,5.000000000000000000e+03,nan,nan,nan,0.000000000000000000e+00,nan
1.000000000000000000e+00,1.585000000000000020e-01,1.000000000000000000e+02,2.000000000000000000e+03,2.999999999999999889e-02,3.000000000000000000e+02,1.000000000000000000e+04,nan,nan,nan,0.000000000000000000e+00,nan
1.000000000000000000e+00,1.585000000000000020e-01,1.000000000000000000e+02,2.000000000000000000e+03,2.999999999999999889e-02,3.000000000000000000e+02,1.500000000000000000e+04,nan,nan,nan,0.000000000000000000e+00,nan
1.000000000000000000e+00,1.585000000000000020e-01,1.000000000000000000e+02,2.000000000000000000e+03,2.999999999999999889e-02,3.000000000000000000e+02,2.000000000000000000e+04,nan,nan,nan,0.000000000000000000e+00,nan
